title,variable,references,description
Y1,VAC_.Y1_OPEN_CMD,4_A2021 9_K2034,VACUUM Y1 COIL FOR ACTUATOR COMMAND
Y3,VAC_.Y3_REQ,,VACUUM Y3 REQUEST
Y3,VAC_.Y3_IND,,VACUUM Y3 INDICATOR 
Y3,VAC_.Y3_OPEN_ACT,4_A2020 9_K2035,VACUUM Y3 OPEN ACTUAL
Y3,VAC_.Y3_CLS_ACT,4_A2020 9_K2036,VACUUM Y3 CLOSE ACTUAL
Y3,VAC_.Y3_OPEN_CMD,4_A2021 9_K2037,VACUUM Y3 OPEN CMD
Y3,VAC_.Y3_OPEN_ACT,4_A2020 9_K2035,VACUUM Y3 SWITCH FOR OPEN ACTUAL
Y3,VAC_.Y3_CLS_ACT,4_A2020 9_K2036,VACUUM Y3 SWITCH FOR CLOSE ACTUAL
Y3,VAC_.Y3_OPEN_CMD,4_A2021 9_K2037,VACUUM Y3 COIL FOR ACTUATOR COMMAND
,,,
,,,
Y5,VAC_.Y5_REQ,,VACUUM Y5 REQUEST
Y5,VAC_.Y5_IND,,VACUUM Y5 INDICATOR 
Y5,VAC_.Y5_OPEN_ACT,4_A2020 9_K2041,VACUUM Y5 OPEN ACTUAL
Y5,VAC_.Y5_CLS_ACT,4_A2020 9_K2042,VACUUM Y5 CLOSE ACTUAL
Y5,VAC_.Y5_OPEN_CMD,4_A2021 9_K2043,VACUUM Y5 OPEN CMD
Y5,VAC_.Y5_OPEN_ACT,4_A2020 9_K2041,VACUUM Y5 SWITCH FOR OPEN ACTUAL
Y5,VAC_.Y5_CLS_ACT,4_A2020 9_K2042,VACUUM Y5 SWITCH FOR CLOSE ACTUAL
Y5,VAC_.Y5_OPEN_CMD,4_A2021 9_K2043,VACUUM Y5 COIL FOR ACTUATOR COMMAND
Y6,VAC_.Y6_REQ,,VACUUM Y6 REQUEST
Y6,VAC_.Y6_IND,,VACUUM Y6 INDICATOR 
Y6,VAC_.Y6_OPEN_ACT,4_A2020 9_K2044,VACUUM Y6 OPEN ACTUAL
Y6,VAC_.Y6_CLS_ACT,4_A2020 9_K2045,VACUUM Y6 CLOSE ACTUAL
Y6,VAC_.Y6_OPEN_CMD,4_A2021 9_K2046,VACUUM Y6 OPEN CMD
Y6,VAC_.Y6_OPEN_ACT,4_A2020 9_K2044,VACUUM Y6 SWITCH FOR OPEN ACTUAL
Y6,VAC_.Y6_CLS_ACT,4_A2020 9_K2045,VACUUM Y6 SWITCH FOR CLOSE ACTUAL
Y6,VAC_.Y6_OPEN_CMD,4_A2021 9_K2046,VACUUM Y6 COIL FOR ACTUATOR COMMAND
Y10,VAC_.Y10_REQ,,VACUUM Y10 REQUEST
Y10,VAC_.Y10_IND,,VACUUM Y10 INDICATOR 
Y10,VAC_.Y10_OPEN_ACT,4_A2025 9_K2047,VACUUM Y10 OPEN ACTUAL
Y10,VAC_.Y10_CLS_ACT,4_A2025 9_K2048,VACUUM Y10 CLOSE ACTUAL
Y10,VAC_.Y10_OPEN_CMD,4_A2021 9_K2049,VACUUM Y10 OPEN CMD
Y10,VAC_.Y10_OPEN_ACT,4_A2025 9_K2047,VACUUM Y10 SWITCH FOR OPEN ACTUAL
Y10,VAC_.Y10_CLS_ACT,4_A2025 9_K2048,VACUUM Y10 SWITCH FOR CLOSE ACTUAL
Y10,VAC_.Y10_OPEN_CMD,4_A2021 9_K2049,VACUUM Y10 COIL FOR ACTUATOR COMMAND
Y11,VAC_.Y11_REQ,,VACUUM Y11 REQUEST
Y11,VAC_.Y11_IND,,VACUUM Y11 INDICATOR 
Y11,VAC_.Y11_OPEN_ACT,4_A2025 9_K2050,VACUUM Y11 OPEN ACTUAL
Y11,VAC_.Y11_CLS_ACT,4_A2025 9_K2051,VACUUM Y11 CLOSE ACTUAL
Y11,VAC_.Y11_OPEN_CMD,4_A2021 9_K2052,VACUUM Y11 OPEN CMD
Y11,VAC_.Y11_OPEN_ACT,4_A2025 9_K2050,VACUUM Y11 SWITCH FOR OPEN ACTUAL
Y11,VAC_.Y11_CLS_ACT,4_A2025 9_K2051,VACUUM Y11 SWITCH FOR CLOSE ACTUAL
Y11,VAC_.Y11_OPEN_CMD,4_A2021 9_K2052,VACUUM Y11 COIL FOR ACTUATOR COMMAND
Y12,VAC_.Y12_REQ,,VACUUM Y12 REQUEST
Y12,VAC_.Y12_IND,,VACUUM Y12 INDICATOR 
Y12,VAC_.Y12_OPEN_ACT,4_A2025 9_K2053,VACUUM Y12 OPEN ACTUAL
Y12,VAC_.Y12_CLS_ACT,4_A2025 9_K2054,VACUUM Y12 CLOSE ACTUAL
Y12,VAC_.Y12_OPEN_CMD,4_A2021 9_K2055,VACUUM Y12 OPEN CMD
Y12,VAC_.Y12_OPEN_ACT,4_A2025 9_K2053,VACUUM Y12 SWITCH FOR OPEN ACTUAL
Y12,VAC_.Y12_CLS_ACT,4_A2025 9_K2054,VACUUM Y12 SWITCH FOR CLOSE ACTUAL
Y12,VAC_.Y12_OPEN_CMD,4_A2021 9_K2055,VACUUM Y12 COIL FOR ACTUATOR COMMAND
GUN,GUN_.LIFT_REQ,,GUN LIFT REQUEST
GUN,GUN_.LIFT_IND,,GUN LIFT INDICATOR 
GUN,GUN_.LIFT_ACT,4_A2025 9_K2069,GUN LIFT ACTUAL
GUN,GUN_.LIFT_CMD,4_A2028 9_K2070,GUN LIFT CMD
GUN,GUN_.DOWN_ACT,4_A2025 9_K2071,GUN DOWN ACTUAL
GUN,GUN_.DOWN_CMD,4_A2028 9_K2072,GUN DOWN CMD
GUN,GUN_.LIFT_ACT,4_A2025 9_K2069,GUN SWITCH FOR LIFT ACTUAL
GUN,GUN_.LIFT_CMD,4_A2028 9_K2070,GUN COIL FOR LIFT ACTUATOR COMMAND
GUN,GUN_.DOWN_ACT,4_A2025 9_K2071,GUN SWITCH FOR DOWN ACTUAL
GUN,GUN_.DOWN_CMD,4_A2028 9_K2072,GUN COIL FOR DOWN ACTUATOR COMMAND
LEFT DOOR,LD_.IN_REQ,,LEFT DOOR IN REQUEST
LEFT DOOR,LD_.IN_IND,,LEFT DOOR IN INDICATOR 
LEFT DOOR,LD_.IN_ACT,,LEFT DOOR IN ACTUAL
LEFT DOOR,LD_.IN_CMD,,LEFT DOOR IN CMD
LEFT DOOR,LD_.OUT_ACT,,LEFT DOOR OUT ACTUAL
LEFT DOOR,LD_.OUT_CMD,,LEFT DOOR OUT CMD
LEFT DOOR,LD_.IN_ACT,,LEFT DOOR SWITCH FOR IN ACTUAL
LEFT DOOR,LD_.IN_CMD,,LEFT DOOR COIL FOR IN ACTUATOR COMMAND
LEFT DOOR,LD_.OUT_ACT,,LEFT DOOR SWITCH FOR OUT ACTUAL
LEFT DOOR,LD_.OUT_CMD,,LEFT DOOR COIL FOR OUT ACTUATOR COMMAND
RIGHT DOOR,RD_.IN_REQ,,RIGHT DOOR IN REQUEST
RIGHT DOOR,RD_.IN_IND,,RIGHT DOOR IN INDICATOR 
RIGHT DOOR,RD_.IN_ACT,,RIGHT DOOR IN ACTUAL
RIGHT DOOR,RD_.IN_CMD,,RIGHT DOOR IN CMD
RIGHT DOOR,RD_.OUT_ACT,,RIGHT DOOR OUT ACTUAL
RIGHT DOOR,RD_.OUT_CMD,,RIGHT DOOR OUT CMD
RIGHT DOOR,RD_.IN_ACT,,RIGHT DOOR SWITCH FOR IN ACTUAL
RIGHT DOOR,RD_.IN_CMD,,RIGHT DOOR COIL FOR IN ACTUATOR COMMAND
RIGHT DOOR,RD_.OUT_ACT,,RIGHT DOOR SWITCH FOR OUT ACTUAL
RIGHT DOOR,RD_.OUT_CMD,,RIGHT DOOR COIL FOR OUT ACTUATOR COMMAND
,,,
RUNOUT TABLE,RUN_TAB_.IN_REQ,,RUNOUT TABLE IN REQUEST
RUNOUT TABLE,RUN_TAB_.IN_IND,,RUNOUT TABLE IN INDICATOR 
RUNOUT TABLE,RUN_TAB_.IN_ACT,,RUNOUT TABLE IN ACTUAL
RUNOUT TABLE,RUN_TAB_.IN_CMD,,RUNOUT TABLE IN CMD
RUNOUT TABLE,RUN_TAB_.OUT_ACT,,RUNOUT TABLE OUT ACTUAL
RUNOUT TABLE,RUN_TAB_.OUT_CMD,,RUNOUT TABLE OUT CMD
RUNOUT TABLE,RUN_TAB.IN_ACT,,RUNOUT TABLE SWITCH FOR IN ACTUAL
RUNOUT TABLE,RUN_TAB.IN_CMD,,RUNOUT TABLE COIL FOR IN ACTUATOR COMMAND
RUNOUT TABLE,RUN_TAB.OUT_ACT,,RUNOUT TABLE SWITCH FOR OUT ACTUAL
RUNOUT TABLE,RUN_TAB.OUT_CMD,,RUNOUT TABLE COIL FOR OUT ACTUATOR COMMAND
VACUUM,VAC_.PNE_ERR_ACT,,VACUUM PNEUMATIC ERROR ACTUAL
VACUUM,VAC_.PNE_ERR_ACT,,VACUUM PNEUMATIC PRESSURE SENSOR
HMI,,,HMI DISPLAY
,E_STOP_.ACT,,ESTOP
,,,
,,,
,,,
,,,
,,,
BEAM 1 BREAKER AC HVPSU MASTER,,,
BEAM 1 BREAKER AC HVPSU SLAVE,,,
BEAM 1  CONTACTOR AC HVPSU MASTER,BEAM1,,
BEAM 1 CONTACTOR AC HVPSU SLAVE ,BEAM1,,
BEAM1 HVPSU AC MASTER COMMAND,BEAM1,,
BEAM1 HVPSU AC SLAVE COMMAND,BEAM1,,
BEAM1 HVPSU AC REQUEST,BEAM1,,
RESERVED - BEAM 2 HVPSU MASTER,,,
RESERVED - BEAM 2 HVPSU SLAVE,,,
RESERVED - BEAM  3 HVPSU MASTER   ,,,
RESERVED - BEAM 3 HVPSU SLAVE,,,
RESERVED - BEAM  4 HVPSU MASTER,,,
RESERVED - BEAM 4 HVPSU SLAVE,,,
RESERVED - BEAM  5 HVPSU MASTER,,,
RESERVED - BEAM 5 HVPSU SLAVE,,,
RESERVED - BEAM  6 HVPSU MASTER,,,
RESERVED - BEAM 6 HVPSU SLAVE,,,
RESERVED - BEAM  7 HVPSU MASTER,,,
RESERVED - BEAM 7 HVPSU SLAVE,,,
RESERVED - BEAM  8 HVPSU MASTER,,,
RESERVED - BEAM 8 HVPSU SLAVE,,,
RESERVED - BEAM  9 HVPSU MASTER,,,
RESERVED - BEAM 9 HVPSU SLAVE,,,
RESERVED - BEAM  11 HVPSU MASTER,,,
RESERVED - BEAM 11 HVPSU SLAVE,,,
RESERVED - BEAM  12 HVPSU MASTER,,,
RESERVED - BEAM 12 HVPSU SLAVE,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
